Article_ID,Title,Year,Journal,Publisher,Link,DOI,Total abundance wild bees reported,Honey bee abundance reported,Abundance per wild bee species,Select proportion,Select RAD,Comment
A1,Floral species evenness is the major driver of wild bee communities in urban gardens,2023,Urban Ecosystems,Springer,https://link.springer.com/article/10.1007/s11252-023-01440-x#citeas,https://doi.org/10.1007/s11252-023-01440-x,YES,YES,YES,YES,YES,
A2,Bee visitation to flowers throughout New York City,2023,Landscape and Urban …,Elsevier,https://doi.org/10.1016/j.landurbplan.2023.104689,https://doi.org/10.1016/j.landurbplan.2023.104689,YES,YES,NO,YES,NO,
A3,Decline in wild bee species richness associated with honey bee (Apis mellifera L.) abundance in an urban ecosystem,2023,PeerJ,peerj.com,https://peerj.com/articles/14699/,https://doi.org/10.7717/peerj.14699,YES,YES,YES,YES,YES,
A4,BYO Bees: Managing wild bee biodiversity in urban greenspaces,2023,Plos one,journals.plos.org,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0281468,https://doi.org/10.1371/journal.pone.0281468,YES,YES,YES,YES,YES,
A5,Urban landscapes affect wild bee maternal investment and body size,2023,Urban …,Springer,https://link.springer.com/article/10.1007/s11252-023-01378-0,10.1007/s11252-023-01378-0,NO,NO,NO,NO,NO,
A6,Local and landscape factors influence plant-pollinator networks and bee foraging behavior across an urban corridor,2023,Land,mdpi.com,https://www.mdpi.com/2073-445X/12/2/362,,YES,NO,YES,NO,NO,
A7,Urban bee functional groups response to landscape context in the Southeastern US,2023,… in Sustainable Cities,frontiersin.org,https://www.frontiersin.org/articles/10.3389/frsc.2023.1192588/full,10.3389/frsc.2023.1192588,YES,YES,YES,NO,NO,Data published in another paper: https://link.springer.com/article/10.1007/s10841-022-00402-6#Sec16
A8,Wild bee surveys across 60 years reveal remarkable reduction of bee abundance in urban green areas in northern Japan,2023,Ecological …,Wiley Online Library,https://esj-journals.onlinelibrary.wiley.com/doi/abs/10.1111/1440-1703.12416,10.1111/1440-1703.12416,NO,NO,NO,NO,NO,
A9,Honey bee foraging and pesticide exposure in a desert urban agroecosystem,2023,… and Environmental Safety,Elsevier,https://www.sciencedirect.com/science/article/pii/S0147651322013124,,NO,NO,NO,NO,NO,
A10,Urbanization and abundance of floral resources affect bee communities in medium_sized neotropical cities,2023,Austral …,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/aec.13299,10.1111/aec.13299,YES,YES,YES,YES,YES,
A11,Next Generation Sequencing of Bee Gut Microbiota in Urban and Rural Environments,2023,Diversity,mdpi.com,https://www.mdpi.com/1424-2818/15/9/1016,,NO,NO,NO,NO,NO,
A12,Bee–plant interaction and community response along an urbanization gradient,2023,Journal of Urban Ecology,academic.oup.com,https://academic.oup.com/jue/article-abstract/9/1/juad006/7180953,https://doi.org/10.1093/jue/juad006,YES,YES,YES,YES,YES,
A13,Vegetation complexity and nesting resource availability predict bee diversity and functional traits in community gardens,2023,Ecological …,Wiley Online Library,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1002/eap.2759,https://doi.org/10.1002/eap.2759,YES,NO,YES,?,? ,
A14,Physiochemical parameters of Apis cerana indica honey as an indicator of bee nutritional status in an anthropogenically managed urban habitat,2023,International Journal of Tropical Insect Science,Springer,https://link.springer.com/article/10.1007/s42690-022-00910-7,10.1007/s42690-022-00910-7,NO,NO,NO,NO,NO,
A15,Urban development reduces bee abundance and diversity,2023,Urban Ecosystems,Springer,https://link.springer.com/article/10.1007/s11252-023-01393-1,10.1007/s11252-023-01393-1,YES,NO,YES,NO,NO,
