Continent,Country,City,Lat,Lon
America,Argentina,Cordoba,-31.41698099,-64.18973232
America,Canada,Montreal,45.4990402,-73.57549878
Europe,Switzerland,Zurich,47.37714396,8.544975494
Europe,UK,Bristol,51.45452569,-2.585937087
Europe,UK,Leeds,53.80190264,-1.554622324
Europe,UK,Edinburgh,55.95363879,-3.187795508
Europe,UK,Reading,51.45571479,-0.980248709
Europe,Poland,Poznan,52.40571348,16.92366487
Europe,Germany,Munich,48.13695735,11.57510194
Oceania,Australia,Perth,-31.9486205,115.8624018
Europe,Germany,Berlin,52.52074237,13.4067087
America,USA,Fox cities,44.25959687,-88.3995652
America,USA,Athens,33.95416997,-83.36473085
America,Brazil,Bra_cities,-22.00268762,-45.8949283
America,Canada,Toronto,43.65549273,-79.3946927
Europe,Germany,Halle,51.49571165,11.96623136
America,USA,Denver,39.73465835,-104.9814811
America,USA,Detroit,42.3317977,-83.04842901
America,USA,"Dallas, Austin",32.77492396,-96.78997991
America,USA,Springfield,42.10200892,-72.58651103
America,USA,"Monterey, Santa Clara, and Santa Cruz",36.97850442,-121.9956979
America,Canada,Quebec,46.81486672,-71.22218885
Oceania,Australia,Melbourne,-37.80736083,144.9276857
America,USA,Ohio,40.31099076,-82.86418983
America,USA,Chicago,41.88093358,-87.64798225
America,USA,Birgminham,33.52296674,-86.82336958
America,USA,New York,40.71392497,-73.98788328
Africa,Ghana,Sunyani,7.334645533,-2.312672447
America,USA,Meadville,41.6682955,-80.13323129
Europe,Austria,Viena,48.21010899,16.37214729
America,USA,Ann Arbor,42.28114573,-83.74145754
America,USA,Cleveland,41.4988679,-81.67401707
Europe,France,Paris,48.85766188,2.353556562
