buffer,ID,mean.NDVI
Bufer_1000.shp,1,0.227844765
Bufer_1000.shp,10,0.173847504
Bufer_1000.shp,100,0.021279456
Bufer_1000.shp,101,-0.006478778
Bufer_1000.shp,102,0.138773389
Bufer_1000.shp,103,-0.023127524
Bufer_1000.shp,104,-0.023127524
Bufer_1000.shp,105,0.18722572
Bufer_1000.shp,106,0.266987284
Bufer_1000.shp,107,-0.077019058
Bufer_1000.shp,108,-0.085582865
Bufer_1000.shp,109,-0.083937151
Bufer_1000.shp,11,0.477973225
Bufer_1000.shp,110,0.271098256
Bufer_1000.shp,111,0.021343392
Bufer_1000.shp,112,0.143252743
Bufer_1000.shp,113,0.005749712
Bufer_1000.shp,114,-0.067987817
Bufer_1000.shp,115,0.106457114
Bufer_1000.shp,116,-0.076059534
Bufer_1000.shp,117,-0.083816797
Bufer_1000.shp,118,-0.107720285
Bufer_1000.shp,119,0.23076057
Bufer_1000.shp,12,0.422053495
Bufer_1000.shp,120,-0.084565793
Bufer_1000.shp,121,0.000665687
Bufer_1000.shp,122,-0.059225649
Bufer_1000.shp,123,-0.077607098
Bufer_1000.shp,124,-0.07126331
Bufer_1000.shp,125,0.232233833
Bufer_1000.shp,126,0.133765675
Bufer_1000.shp,127,0.153113954
Bufer_1000.shp,128,0.25343643
Bufer_1000.shp,129,0.323944467
Bufer_1000.shp,13,0.443350819
Bufer_1000.shp,130,-0.033455153
Bufer_1000.shp,131,0.325945027
Bufer_1000.shp,132,0.032272851
Bufer_1000.shp,133,-0.087874993
Bufer_1000.shp,134,0.369522811
Bufer_1000.shp,135,0.339882242
Bufer_1000.shp,136,0.001431296
Bufer_1000.shp,137,0.354396703
Bufer_1000.shp,138,0.418902284
Bufer_1000.shp,139,0.347221152
Bufer_1000.shp,14,0.449205808
Bufer_1000.shp,140,0.181818759
Bufer_1000.shp,141,-0.01765059
Bufer_1000.shp,142,0.171496843
Bufer_1000.shp,143,0.251029252
Bufer_1000.shp,144,0.065483787
Bufer_1000.shp,145,0.355838243
Bufer_1000.shp,146,0.10677673
Bufer_1000.shp,147,0.167692
Bufer_1000.shp,148,0.376175237
Bufer_1000.shp,149,0.238955991
Bufer_1000.shp,15,0.525979263
Bufer_1000.shp,150,0.339616888
Bufer_1000.shp,151,0.210829416
Bufer_1000.shp,152,0.457642855
Bufer_1000.shp,153,0.266621691
Bufer_1000.shp,154,0.402578117
Bufer_1000.shp,155,0.356295539
Bufer_1000.shp,156,0.135888417
Bufer_1000.shp,157,0.396880234
Bufer_1000.shp,158,0.358337766
Bufer_1000.shp,159,0.329305039
Bufer_1000.shp,16,0.327750051
Bufer_1000.shp,160,0.435815752
Bufer_1000.shp,161,0.419254057
Bufer_1000.shp,162,0.418815167
Bufer_1000.shp,163,0.513670559
Bufer_1000.shp,164,0.427004176
Bufer_1000.shp,165,0.327726188
Bufer_1000.shp,166,0.458465997
Bufer_1000.shp,167,0.365670417
Bufer_1000.shp,168,0.541271804
Bufer_1000.shp,169,0.373885012
Bufer_1000.shp,17,0.250871295
Bufer_1000.shp,170,0.200563624
Bufer_1000.shp,171,0.244436998
