Article_ID,DOI,Authors,Year,Continent,Country,City,Bee genus,Bee species,Bee merged,Bee full,Abundance,Bee_ID_per_study,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Apis,mellifera,Apis mellifera,"Apis mellifera Linnaeus, 1958",2291,1,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Ceratina,calcarata,Ceratina calcarata,"Ceratina calcarata Robertson, 1900",311,2,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Agapostemon,virescens,Agapostemon virescens,"Agapostemon virescens Fabricius, 1775",260,3,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Hylaeus,communis,Hylaeus communis,"Hylaeus communis Nylander, 1852",238,4,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Hylaeus,hyalinatus,Hylaeus hyalinatus,"Hylaeus hyalinatus Smith, 1842",204,5,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Lasioglossum,laevissimum,Lasioglossum laevissimum,"Lasioglossum laevissimum Smith, 1853",192,6,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Bombus,impatiens,Bombus impatiens,"Bombus impatiens Cresson, 1863",186,7,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Lasioglossum,imitatum,Lasioglossum imitatum,"Lasioglossum imitatum Smith, 1853",169,8,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Halictus,ligatus,Halictus ligatus,"Halictus ligatus Say, 1837",141,9,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Bombus,griseocollis,Bombus griseocollis,"Bombus griseocollis De Geer, 1773",127,10,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Megachile,rotundata,Megachile rotundata,"Megachile rotundata Fabricius, 1787",123,11,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Ceratina,mikmaqi,Ceratina mikmaqi,"Ceratina mikmaqi Rehan and Sheffield, 2011",117,12,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Hylaeus,punctatus,Hylaeus punctatus,"Hylaeus punctatus Brullé, 1832",113,13,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Hoplitis,producta,Hoplitis producta,"Hoplitis producta Cresson, 1864",106,14,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Halictus,rubicundus,Halictus rubicundus,"Halictus rubicundus Christ, 1791",101,15,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Hylaeus,modestus,Hylaeus modestus,"Hylaeus modestus Say, 1837",86,16,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Ceratina,dupla,Ceratina dupla,"Ceratina dupla Say, 1837",85,17,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Lasioglossum,lineatulum,Lasioglossum lineatulum,"Lasioglossum lineatulum Crawford, 1906",77,18,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Anthidium,florentinum,Anthidium florentinum,"Anthidium florentinum Fabricius, 1775",74,19,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Hylaeus,mesillae,Hylaeus mesillae,"Hylaeus mesillae Cockerell, 1896",74,20,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Halictus,confusus,Halictus confusus,"Halictus confusus Smith, 1853",71,21,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Lasioglossum,cinctipes,Lasioglossum cinctipes,"Lasioglossum cinctipes Provancher, 1888",65,22,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Chelostoma,rapunculi,Chelostoma rapunculi,"Chelostoma rapunculi Lepeletier, 1841",56,23,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Lasioglossum,leucozonium,Lasioglossum leucozonium,"Lasioglossum leucozonium Schrank, 1781",49,24,,,,,,,,,,,,,,
