Continent,Country,City,Year,Area,Total N. beekeepers,Total N. hives,Density,Reference
Europe,UK,Greater London,2014,1'579,,4218,2.671310956,Marc Patterson/ Api:cultural
Europe,UK,Greater London,2023,1'579,,7500,4.749841672,Marc Patterson/ Api:cultural
Europe,Germany,Berlin,2006,892,440,1950,2.186098655,https://doi.org/10.1080/23251042.2015.1008383
Europe,Germany,Berlin,2012,892,940,3490,3.912556054,https://doi.org/10.1080/23251042.2015.1008383
Europe,Germany,Berlin,2019,892,1387,7965,8.929372197,Deutscher Imkerbund e.V. DIB
Europe,Germany,Berlin,2023,892,1448,8682,9.733183857,Deutscher Imkerbund e.V. DIB
Europe,France,Paris,2013,105.4,NA,300,2.84629981,Lise Roppars/ https://agriculture.gouv.fr/informations-publiques
Europe,France,Paris,2016,105.4,NA,1088,10.32258065,Lise Roppars/ https://agriculture.gouv.fr/informations-publiques
Europe,France,Paris,2018,105.4,NA,1583,15.01897533,Lise Roppars/ https://agriculture.gouv.fr/informations-publiques
Europe,France,Paris,2022,105.4,NA,1558,14.78178368,Lise Roppars/ https://agriculture.gouv.fr/informations-publiques
Europe,Eslovenia,Ljubljana,2023,755.2,350,5000,6.620762712,https://www.smb.museum/en/events/detail/beekeeping-in-ljubljana-and-berlin-visit-at-the-domaene-dahlem-2023-07-01-140000-136431/
Europe,Germany,Hamburg,2009,755.2,444,3010,3.985699153,Deutscher Imkerbund e.V. DIB
Europe,Germany,Hamburg,2012,755.2,541,3378,4.472987288,Deutscher Imkerbund e.V. DIB
Europe,Germany,Hamburg,2019,755.2,1028,5597,7.41128178,Deutscher Imkerbund e.V. DIB
Europe,Germany,Hamburg,2023,755.2,1032,5'711,7.562235169,Deutscher Imkerbund e.V. DIB
America,USA,New York,2010,1223,NA,68,0.055600981,New York City Department of Health and Mental Hygiene
America,USA,New York,2022,1223,NA,610,0.498773508,New York City Department of Health and Mental Hygiene
Europe,Switzerland,Bern,2014,51.6,51,451,8.740310078,Bundesamt fur landwirtschaft BLW
Europe,Switzerland,Bern,2015,51.6,57,569,11.02713178,Bundesamt fur landwirtschaft BLW
Europe,Switzerland,Bern,2016,51.6,63,527,10.21317829,Bundesamt fur landwirtschaft BLW
Europe,Switzerland,Bern,2017,51.6,69,730,14.14728682,Bundesamt fur landwirtschaft BLW
Europe,Switzerland,Bern,2018,51.6,78,553,10.71705426,Bundesamt fur landwirtschaft BLW
Europe,Switzerland,Bern,2019,51.6,81,526,10.19379845,Bundesamt fur landwirtschaft BLW
Europe,Switzerland,Bern,2020,51.6,77,581,11.25968992,Bundesamt fur landwirtschaft BLW
Europe,Switzerland,Bern,2021,51.6,77,581,11.25968992,Bundesamt fur landwirtschaft BLW
